mm/dd/yy-HH:MM,Int,Ext,Tds,Sal,Con,Bat
3/21/20-13:04,67.1,70.7,13,0,23.68,4.21
3/21/20-13:34,61.7,68.9,12,0,23.07,4.21
3/21/20-14:04,68.9,74.3,3,0,6.03,4.21
3/21/20-14:34,68.9,70.7,14,0,25.15,4.21
3/21/20-15:04,69.8,70.7,14,0,26.27,4.21
3/21/20-15:34,70.7,70.7,14,0,26.65,4.21
3/21/20-16:04,70.7,70.7,15,0,27.38,4.21
3/21/20-16:34,70.7,70.7,15,0,28.12,4.21
3/21/20-17:04,69.8,70.7,15,0,28.12,4.21
3/21/20-17:34,68.9,70.7,15,0,28.5,4.21
3/21/20-18:04,68,70.7,16,0,28.88,4.21
3/21/20-18:34,68,70.7,16,0,29.24,4.21
3/21/20-19:04,68,70.7,16,0,29.63,4.21
3/21/20-19:34,68,70.7,16,0,30,4.21
3/21/20-20:04,68,70.7,16,0,30.36,4.21
3/21/20-20:34,68,70.7,17,0,30.74,4.21
3/21/20-21:04,68,70.7,17,0,31.47,4.21
3/21/20-21:34,68,70.7,17,0,31.48,4.21
3/21/20-22:04,68,70.7,17,0,31.86,4.21
3/21/20-22:34,68,70.7,18,0,32.59,4.21
3/21/20-23:04,68,70.7,18,0,32.97,4.21
3/21/20-23:34,68,70.7,18,0,32.97,4.21
3/22/20-0:04,68,70.7,18,0,33.33,4.21
3/22/20-0:34,68,70.7,18,0,33.71,4.21
3/22/20-1:04,68,70.7,18,0,34.06,4.21
3/22/20-1:34,68,70.7,18,0,34.07,4.21
3/22/20-2:04,68,70.7,19,0,34.45,4.21
3/22/20-2:34,68,70.7,19,0,34.45,4.21
3/22/20-3:04,68,70.7,19,0,35.18,4.21
3/22/20-3:34,68.9,70.7,19,0,35.18,4.21
3/22/20-4:04,68.9,70.7,19,0,35.57,4.21
3/22/20-4:34,68.9,70.7,20,0,36.3,4.21
3/22/20-5:04,68.9,70.7,20,0,36.68,4.21
3/22/20-5:34,68.9,70.7,20,0,36.68,4.21
3/22/20-6:04,68.9,70.7,20,0,37.04,4.21
3/22/20-6:34,68.9,70.7,20,0,37.42,4.21
3/22/20-7:04,68.9,70.7,20,0,37.8,4.21
3/22/20-7:34,68.9,70.7,21,0,38.16,4.21
3/22/20-8:04,68.9,70.7,21,0,38.54,4.21
3/22/20-8:34,69.8,70.7,21,0,39.27,4.21
3/22/20-9:04,69.8,70.7,21,0,39.65,4.21
3/22/20-9:34,69.8,70.7,21,0,39.28,4.21
3/22/20-10:04,70.7,70.7,21,0,39.66,4.21
3/22/20-10:34,71.6,70.7,22,0,40.39,4.21
3/22/20-10:34,71.6,70.7,22,0,40.39,4.21
3/22/20-11:34,73.4,71.6,22,0,40.33,4.21
3/22/20-12:04,73.4,70.7,22,0,41.12,4.21
3/22/20-12:34,73.4,71.6,22,0,40.69,4.21
3/22/20-13:04,73.4,71.6,22,0,41.07,4.21
3/22/20-13:34,73.4,71.6,22,0,41.44,4.21
3/22/20-14:04,73.4,71.6,22,0,41.44,4.21
3/22/20-14:34,75.2,71.6,23,0,42.16,4.21
3/22/20-15:04,77,71.6,23,0,42.52,4.21
3/22/20-15:34,77,71.6,23,0,42.9,4.21
3/22/20-16:04,77.9,71.6,24,0,43.62,4.21
3/22/20-16:34,77.9,71.6,24,0,43.62,4.21
3/22/20-17:04,75.2,71.6,23,0,42.9,4.21
3/22/20-17:34,74.3,71.6,23,0,43.28,4.21
3/22/20-18:04,73.4,71.6,23,0,43.28,4.21
3/22/20-18:34,72.5,71.6,23,0,43.29,4.21
3/22/20-19:04,71.6,71.6,24,0,43.64,4.21
3/22/20-19:34,71.6,71.6,24,0,43.64,4.21
3/22/20-20:04,70.7,71.6,23,0,43.3,4.21
3/22/20-20:34,70.7,71.6,24,0,44.02,4.21
3/22/20-21:04,70.7,71.6,24,0,44.03,4.21
3/22/20-21:34,70.7,71.6,24,0,44.4,4.21
3/22/20-22:04,70.7,70.7,24,0,44.88,4.21
3/22/20-22:34,70.7,70.7,24,0,44.88,4.21
3/22/20-23:04,70.7,71.6,24,0,45.13,4.21
3/22/20-23:34,70.7,71.6,25,0,45.49,4.21
3/23/20-0:04,70.7,71.6,25,0,45.49,4.21
3/23/20-0:34,70.7,71.6,25,0,45.49,4.21
3/23/20-1:04,70.7,71.6,25,0,45.86,4.21
3/23/20-1:34,70.7,71.6,25,0,46.24,4.21
3/23/20-2:04,70.7,71.6,25,0,46.24,4.21
3/23/20-2:34,70.7,71.6,25,0,46.59,4.21
3/23/20-3:04,70.7,71.6,23,0,43.29,4.21
3/23/20-3:34,70.7,71.6,23,0,42.54,4.21
3/23/20-4:04,70.7,71.6,20,0,37.02,4.21
3/23/20-4:34,70.7,71.6,18,0,33.71,4.21
3/23/20-5:04,70.7,71.6,18,0,32.62,4.21
3/23/20-5:34,70.7,71.6,17,0,32.25,4.21
3/23/20-6:04,70.7,71.6,17,0,31.52,4.21
3/23/20-6:34,70.7,70.7,17,0,32.21,4.21
3/23/20-7:04,70.7,71.6,17,0,32.25,4.21
3/23/20-7:34,70.7,71.6,18,0,32.62,4.21
3/23/20-8:04,70.7,71.6,18,0,32.97,4.21
3/23/20-8:34,71.6,71.6,17,0,31.87,4.21
3/23/20-9:04,72.5,71.6,17,0,31.51,4.21
3/23/20-9:34,72.5,71.6,17,0,30.76,4.21
3/23/20-10:04,73.4,71.6,16,0,30.02,4.21
3/23/20-10:34,77,71.6,16,0,29.67,4.21
3/23/20-11:04,78.8,71.6,16,0,29.65,4.21
3/23/20-11:34,86,72.5,16,0,30.4,4.21
3/23/20-12:04,80.6,72.5,16,0,29.35,4.21
3/23/20-12:34,81.5,72.5,16,0,29.34,4.21
3/23/20-13:04,81.5,72.5,16,0,29.34,4.21
3/23/20-13:34,79.7,72.5,16,0,28.98,4.21
3/23/20-14:04,84.2,72.5,16,0,29.34,4.21
3/23/20-14:34,91.4,72.5,17,0,31.84,4.21
3/23/20-15:04,103.1,73.4,18,0,33.98,4.21
3/23/20-15:34,95.9,74.3,17,0,31.89,4.21
3/23/20-16:04,87.8,74.3,17,0,30.84,4.21
3/23/20-16:34,85.1,74.3,16,0,30.14,4.21
3/23/20-17:04,81.5,74.3,16,0,29.79,4.21
3/23/20-17:34,79.7,74.3,16,0,29.45,4.21
3/23/20-18:04,77.9,73.4,16,0,29.39,4.21
3/23/20-18:34,77.9,73.4,16,0,29.4,4.21
3/23/20-19:04,77,73.4,15,0,28.69,4.21
3/23/20-19:34,75.2,72.5,15,0,28.62,4.21
3/23/20-20:04,73.4,72.5,15,0,28.62,4.21
3/23/20-20:34,73.4,72.5,15,0,28.62,4.21
3/23/20-21:04,72.5,71.6,15,0,28.58,4.21
3/23/20-21:34,72.5,71.6,15,0,28.2,4.21
3/23/20-22:04,72.5,71.6,15,0,28.2,4.21
3/23/20-22:34,71.6,71.6,15,0,28.58,4.21
3/23/20-23:04,71.6,71.6,15,0,28.2,4.21
3/23/20-23:34,71.6,71.6,15,0,28.2,4.21
3/24/20-0:04,71.6,71.6,15,0,28.58,4.21
3/24/20-0:34,71.6,71.6,15,0,28.21,4.21
3/24/20-1:04,71.6,71.6,15,0,28.2,4.21
3/24/20-1:34,71.6,71.6,15,0,28.21,4.21
3/24/20-2:04,71.6,71.6,15,0,28.2,4.21
3/24/20-2:34,71.6,71.6,15,0,27.83,4.21
3/24/20-3:04,71.6,71.6,15,0,27.83,4.21
3/24/20-3:34,70.7,71.6,15,0,28.21,4.21
3/24/20-4:04,70.7,71.6,15,0,27.83,4.21
3/24/20-4:34,70.7,71.6,15,0,27.83,4.21
3/24/20-5:04,70.7,71.6,15,0,27.48,4.21
3/24/20-5:34,70.7,71.6,15,0,27.1,4.21
3/24/20-6:04,70.7,71.6,15,0,27.48,4.21
3/24/20-6:34,70.7,71.6,15,0,27.11,4.21
3/24/20-7:04,70.7,71.6,14,0,26.75,4.21
3/24/20-7:34,70.7,70.7,14,0,26.66,4.21
3/24/20-8:04,71.6,70.7,15,0,27.04,4.21
3/24/20-8:34,72.5,71.6,14,0,26.37,4.21
3/24/20-9:04,75.2,71.6,14,0,26.74,4.21
3/24/20-9:34,80.6,71.6,15,0,27.08,4.21
3/24/20-10:04,78.8,71.6,15,0,27.09,4.21
3/24/20-10:34,78.8,71.6,15,0,27.08,4.21
3/24/20-11:04,79.7,71.6,15,0,27.08,4.21
3/24/20-11:34,85.1,72.5,13,0,24.97,4.21
3/24/20-12:04,99.5,73.4,15,0,27.18,4.21
3/24/20-12:34,112.1,73.4,14,0,25.72,4.21
3/24/20-13:04,120.2,74.3,14,0,25.8,4.21
3/24/20-13:34,-1,75.2,14,0,25.87,4.21
3/24/20-14:04,-1,77,14,0,25.7,4.21
3/24/20-14:34,-1,76.1,13,0,24.92,4.21
3/24/20-15:04,119.3,77.9,13,0,24.08,4.21
3/24/20-15:34,111.2,77,11,0,20.92,4.21
3/24/20-16:04,92.3,76.1,9,0,16.66,4.21
3/24/20-16:34,86,75.2,9,0,16.47,4.21
3/24/20-17:04,80.6,74.3,8,0,15.58,4.21
3/24/20-17:34,78.8,74.3,8,0,14.88,4.21
3/24/20-18:04,77,73.4,8,0,14.69,4.21
3/24/20-18:34,75.2,73.4,8,0,14.69,4.21
3/24/20-19:04,74.3,72.5,8,0,14.48,4.21
3/24/20-19:34,72.5,72.5,8,0,14.48,4.21
3/24/20-20:04,71.6,71.6,8,0,14.26,4.21
3/24/20-20:34,70.7,71.6,8,0,14.26,4.21
3/24/20-21:04,70.7,71.6,8,0,14.26,4.21
3/24/20-21:34,69.8,70.7,8,0,14.06,4.21
3/24/20-22:04,69.8,70.7,8,0,14.42,4.21
3/24/20-22:34,69.8,70.7,8,0,14.06,4.21
3/24/20-23:04,69.8,70.7,8,0,14.06,4.21
3/24/20-23:34,68.9,70.7,8,0,14.06,4.21
3/25/20-0:04,68.9,70.7,7,0,13.68,4.21
3/25/20-0:34,68.9,70.7,8,0,14.06,4.21
3/25/20-1:04,68.9,70.7,7,0,13.68,4.21
3/25/20-1:34,68.9,70.7,8,0,14.06,4.21
3/25/20-2:04,68.9,70.7,7,0,13.68,4.21
3/25/20-2:34,68.9,70.7,7,0,13.68,4.21
3/25/20-3:04,68.9,70.7,8,0,14.06,4.21
3/25/20-3:34,68.9,70.7,7,0,13.68,4.21
3/25/20-4:04,68.9,70.7,8,0,14.06,4.21
3/25/20-4:34,68.9,70.7,7,0,13.68,4.21
3/25/20-5:04,68.9,70.7,7,0,13.68,4.21
3/25/20-5:34,68.9,70.7,7,0,13.31,4.21
3/25/20-6:04,68.9,70.7,8,0,14.06,4.21
3/25/20-6:34,68.9,70.7,8,0,14.06,4.21
3/25/20-7:04,68.9,70.7,8,0,14.06,4.21
3/25/20-7:34,69.8,70.7,8,0,14.06,4.21
3/25/20-8:04,69.8,70.7,8,0,14.06,4.21
3/25/20-8:34,71.6,70.7,8,0,14.06,4.21
3/25/20-9:04,73.4,70.7,8,0,14.41,4.21
3/25/20-9:34,75.2,71.6,8,0,14.63,4.21
3/25/20-10:04,77,71.6,8,0,14.63,4.21
3/25/20-10:34,77.9,71.6,8,0,15,4.21
3/25/20-11:04,80.6,71.6,8,0,15.35,4.21
3/25/20-11:34,91.4,72.5,9,0,15.9,4.21
3/25/20-12:04,107.6,72.5,11,0,19.51,4.21
3/25/20-12:34,115.7,74.3,12,0,21.56,4.21
3/25/20-13:04,118.4,75.2,12,0,22.74,4.21
3/25/20-13:34,119.3,75.2,13,0,23.77,4.21
3/25/20-14:04,120.2,76.1,13,0,23.88,4.21
3/25/20-14:34,117.5,77,12,0,22.62,4.21
3/25/20-15:04,115.7,77.9,12,0,21.38,4.21
3/25/20-15:34,104.9,77.9,10,0,18.01,4.21
3/25/20-16:04,90.5,78.8,8,0,15.5,4.21
3/25/20-16:34,86,77.9,8,0,14.64,4.21
3/25/20-17:04,82.4,77.9,8,0,14.29,4.21
3/25/20-17:34,80.6,76.1,8,0,14.25,4.21
3/25/20-18:04,78.8,76.1,8,0,14.25,4.21
3/25/20-18:34,77.9,76.1,8,0,13.89,4.21
3/25/20-19:04,77,75.2,8,0,14.04,4.21
3/25/20-19:34,76.1,75.2,8,0,14.04,4.21
3/25/20-20:04,75.2,74.3,7,0,13.82,4.21
3/25/20-20:34,74.3,74.3,7,0,13.48,4.21
3/25/20-21:04,74.3,73.4,8,0,13.97,4.21
3/25/20-21:34,73.4,73.4,8,0,13.97,4.21
3/25/20-22:04,72.5,72.5,7,0,13.77,4.21
3/25/20-22:34,72.5,72.5,7,0,13.77,4.21
3/25/20-23:04,71.6,71.6,7,0,13.54,4.21
3/25/20-23:34,71.6,71.6,8,0,13.91,4.21
3/26/20-0:04,70.7,71.6,8,0,13.91,4.21
3/26/20-0:34,70.7,70.7,8,0,14.06,4.21
3/26/20-1:04,70.7,70.7,7,0,13.69,4.21
3/26/20-1:34,70.7,70.7,7,0,13.69,4.21
3/26/20-2:04,70.7,71.6,7,0,13.54,4.21
3/26/20-2:34,70.7,71.6,8,0,13.91,4.21
3/26/20-3:04,70.7,71.6,7,0,13.54,4.21
3/26/20-3:34,70.7,71.6,8,0,13.91,4.21
3/26/20-4:04,70.7,71.6,7,0,13.54,4.21
3/26/20-4:34,70.7,71.6,7,0,13.54,4.21
3/26/20-5:04,70.7,71.6,7,0,13.54,4.21
3/26/20-5:34,70.7,71.6,7,0,13.54,4.21
3/26/20-6:04,70.7,71.6,7,0,13.54,4.21
3/26/20-6:34,70.7,71.6,7,0,13.54,4.21
3/26/20-7:04,70.7,71.6,7,0,13.54,4.21
3/26/20-7:34,70.7,70.7,8,0,14.06,4.21
3/26/20-8:04,71.6,71.6,7,0,13.54,4.21
3/26/20-8:34,71.6,71.6,7,0,13.54,4.21
3/26/20-9:04,73.4,71.6,8,0,13.91,4.21
3/26/20-9:34,78.8,71.6,8,0,14.26,4.21
3/26/20-10:04,77.9,71.6,8,0,14.64,4.21
3/26/20-10:34,89.6,72.5,8,0,15.19,4.21
3/26/20-11:04,88.7,72.5,8,0,15.56,4.21
3/26/20-11:34,91.4,73.4,9,0,15.74,4.21
3/26/20-12:04,94.1,73.4,9,0,16.1,4.21
3/26/20-12:34,103.1,74.3,10,0,17.69,4.21
3/26/20-13:04,102.2,74.3,10,0,17.69,4.21
3/26/20-13:34,104.9,74.3,10,0,18.05,4.21
3/26/20-14:04,110.3,74.3,11,0,19.81,4.21
3/26/20-14:34,113.9,76.1,11,0,20.45,4.21
3/26/20-15:04,112.1,76.1,11,0,20.1,4.21
3/26/20-15:34,102.2,76.1,9,0,17.34,4.21
3/26/20-16:04,89.6,77,8,0,15.46,4.21
3/26/20-16:34,85.1,77,8,0,14.44,4.21
3/26/20-17:04,82.4,76.1,8,0,14.25,4.21
3/26/20-17:34,80.6,76.1,8,0,14.25,4.21
3/26/20-18:04,79.7,75.2,8,0,14.04,4.21
3/26/20-18:34,77.9,76.1,8,0,13.9,4.21
3/26/20-19:04,77.9,75.2,7,0,13.68,4.21
3/26/20-19:34,76.1,74.3,7,0,13.82,4.21
3/26/20-20:04,75.2,74.3,7,0,13.82,4.21
3/26/20-20:34,74.3,73.4,7,0,13.62,4.21
3/26/20-21:04,73.4,73.4,7,0,13.62,4.21
3/26/20-21:34,73.4,72.5,8,0,14.12,4.21
3/26/20-22:04,72.5,72.5,7,0,13.4,4.21
3/26/20-22:34,72.5,71.6,8,0,13.92,4.21
3/26/20-23:04,71.6,71.6,7,0,13.54,4.21
3/26/20-23:34,71.6,71.6,7,0,13.54,4.21
3/27/20-0:04,71.6,71.6,7,0,13.54,4.21
3/27/20-0:34,70.7,71.6,7,0,13.54,4.21
3/27/20-1:04,70.7,71.6,8,0,13.92,4.21
3/27/20-1:34,70.7,71.6,7,0,13.54,4.21
3/27/20-2:04,70.7,71.6,7,0,13.54,4.21
3/27/20-2:34,71.6,71.6,7,0,13.54,4.21
3/27/20-3:04,70.7,71.6,7,0,13.54,4.21
3/27/20-3:34,70.7,71.6,7,0,13.54,4.21
3/27/20-4:04,70.7,71.6,7,0,13.54,4.21
3/27/20-4:34,70.7,71.6,7,0,13.54,4.21
3/27/20-5:04,70.7,71.6,7,0,13.54,4.21
3/27/20-5:34,70.7,71.6,7,0,13.54,4.21
3/27/20-6:04,70.7,71.6,8,0,13.92,4.21
3/27/20-6:34,70.7,71.6,7,0,13.54,4.21
3/27/20-7:04,71.6,71.6,7,0,13.54,4.21
3/27/20-7:34,71.6,71.6,8,0,13.91,4.21
3/27/20-8:04,71.6,71.6,8,0,14.64,4.21
3/27/20-8:34,73.4,71.6,8,0,14.26,4.21
3/27/20-9:04,76.1,71.6,8,0,15.01,4.21
3/27/20-9:34,77.9,71.6,8,0,15.01,4.21
3/27/20-10:04,83.3,71.6,8,0,15.73,4.21
3/27/20-10:34,86.9,72.5,9,0,15.91,4.21
3/27/20-11:04,96.8,72.5,9,0,16.99,4.21
3/27/20-11:34,101.3,73.4,10,0,17.89,4.21
3/27/20-12:04,105.8,75.2,10,0,18.58,4.21
3/27/20-12:34,108.5,75.2,10,0,18.22,4.21
3/27/20-13:04,97.7,75.2,9,0,16.48,4.21
3/27/20-13:34,98.6,75.2,9,0,16.84,4.21
3/27/20-14:04,96.8,75.2,9,0,16.48,4.21
3/27/20-14:34,91.4,75.2,9,0,15.79,4.21
3/27/20-15:04,96.8,75.2,9,0,16.48,4.21
3/27/20-15:34,93.2,75.2,8,0,15.43,4.21
3/27/20-16:04,88.7,75.2,8,0,14.74,4.21
3/27/20-16:34,86.9,75.2,8,0,14.4,4.21
3/27/20-17:04,86,76.1,8,0,14.26,4.21
3/27/20-17:34,84.2,76.1,8,0,13.91,4.21
3/27/20-18:04,82.4,75.2,7,0,13.69,4.21
3/27/20-18:34,80.6,75.2,7,0,13.69,4.21
3/27/20-19:04,79.7,74.3,7,0,13.49,4.21
3/27/20-19:34,77,73.4,7,0,13.27,4.21
3/27/20-20:04,75.2,73.4,7,0,13.27,4.21
3/27/20-20:34,74.3,72.5,7,0,13.04,4.21
3/27/20-21:04,74.3,72.5,7,0,12.69,4.21
3/27/20-21:34,73.4,72.5,7,0,13.04,4.21
3/27/20-22:04,72.5,71.6,7,0,13.18,4.21
3/27/20-22:34,72.5,71.6,7,0,12.83,4.21
3/27/20-23:04,72.5,71.6,7,0,12.45,4.21
3/27/20-23:34,72.5,71.6,7,0,12.83,4.21
3/28/20-0:04,72.5,71.6,7,0,12.45,4.21
3/28/20-0:34,72.5,71.6,7,0,12.82,4.21
3/28/20-1:04,72.5,71.6,7,0,12.83,4.21
3/28/20-1:34,72.5,71.6,7,0,12.83,4.21
3/28/20-2:04,72.5,71.6,7,0,12.45,4.21
3/28/20-2:34,72.5,71.6,7,0,12.83,4.21
3/28/20-3:04,71.6,71.6,7,0,12.83,4.21
3/28/20-3:34,71.6,71.6,7,0,12.45,4.21
3/28/20-4:04,71.6,71.6,7,0,12.45,4.21
3/28/20-4:34,71.6,71.6,7,0,12.45,4.21
3/28/20-5:04,71.6,71.6,7,0,12.45,4.21
3/28/20-5:34,71.6,71.6,7,0,12.45,4.21
3/28/20-6:04,71.6,71.6,7,0,12.83,4.21
3/28/20-6:34,71.6,71.6,7,0,12.83,4.21
3/28/20-7:04,71.6,71.6,7,0,12.83,4.21
3/28/20-7:34,71.6,71.6,7,0,12.45,4.21
3/28/20-8:04,72.5,71.6,7,0,12.83,4.21
3/28/20-8:34,72.5,71.6,7,0,12.83,4.21
3/28/20-9:04,72.5,71.6,7,0,12.83,4.21
3/28/20-9:34,73.4,71.6,7,0,13.55,4.21
3/28/20-10:04,72.5,71.6,7,0,12.83,4.21
3/28/20-10:34,73.4,71.6,7,0,13.18,4.21
3/28/20-11:04,71.6,71.6,7,0,12.83,4.21
3/28/20-11:34,72.5,71.6,7,0,13.18,4.21
3/28/20-12:04,78.8,71.6,8,0,13.92,4.21
3/28/20-12:34,80.6,71.6,8,0,14.27,4.21
3/28/20-13:04,85.1,71.6,8,0,15.01,4.21
3/28/20-13:34,94.1,72.5,9,0,15.91,4.21
3/28/20-14:04,105.8,73.4,10,0,17.89,4.21
3/28/20-14:34,101.3,73.4,9,0,16.82,4.21
3/28/20-15:04,96.8,74.3,9,0,15.95,4.21
3/28/20-15:34,90.5,73.4,8,0,15.41,4.21
3/28/20-16:04,86.9,73.4,8,0,14.7,4.21
3/28/20-16:34,84.2,73.4,8,0,13.97,4.21
3/28/20-17:04,82.4,73.4,8,0,13.97,4.21
3/28/20-17:34,80.6,72.5,7,0,13.77,4.21
3/28/20-18:04,78.8,72.5,7,0,13.41,4.21
3/28/20-18:34,75.2,72.5,7,0,13.04,4.21
3/28/20-19:04,74.3,71.6,7,0,12.82,4.21
3/28/20-19:34,71.6,71.6,7,0,12.83,4.21
3/28/20-20:04,69.8,70.7,7,0,12.59,4.21
3/28/20-20:34,69.8,70.7,7,0,12.59,4.21
3/28/20-21:04,68.9,70.7,7,0,12.59,4.21
3/28/20-21:34,68,70.7,7,0,12.59,4.21
3/28/20-22:04,68,70.7,7,0,12.59,4.21
3/28/20-22:34,68,70.7,7,0,12.23,4.21
3/28/20-23:04,68,70.7,7,0,12.23,4.21
3/28/20-23:34,67.1,70.7,6,0,11.85,4.21
3/29/20-0:04,67.1,70.7,7,0,12.23,4.21
3/29/20-0:34,67.1,70.7,6,0,11.85,4.21
3/29/20-1:04,67.1,70.7,6,0,11.85,4.21
3/29/20-1:34,66.2,70.7,6,0,11.85,4.21
3/29/20-2:04,66.2,70.7,7,0,12.23,4.21
3/29/20-2:34,66.2,70.7,7,0,12.23,4.21
3/29/20-3:04,66.2,70.7,6,0,11.85,4.21
3/29/20-3:34,66.2,70.7,6,0,11.85,4.21
3/29/20-4:04,66.2,70.7,6,0,11.85,4.21
3/29/20-4:34,66.2,70.7,7,0,12.23,4.21
3/29/20-5:04,67.1,70.7,6,0,11.85,4.21
3/29/20-5:34,67.1,70.7,6,0,11.85,4.21
3/29/20-6:04,67.1,70.7,7,0,12.23,4.21
3/29/20-6:34,67.1,70.7,7,0,12.23,4.21
3/29/20-7:04,67.1,70.7,7,0,12.23,4.21
3/29/20-7:34,67.1,70.7,7,0,12.23,4.21
3/29/20-8:04,68,70.7,7,0,12.23,4.21
3/29/20-8:34,70.7,70.7,7,0,12.59,4.21
3/29/20-9:04,73.4,70.7,7,0,12.96,4.21
3/29/20-9:34,84.2,71.6,7,0,13.54,4.21
