mm/dd/yy-HH:MM,Int,Ext,Tds,Sal,Con,Bat
4/5/20-16:24,79.70,73.40,12.00,0.00,22.98,4.11
4/5/20-16:54,78.80,72.50,12.00,0.00,22.85,4.12
4/5/20-17:24,77.00,72.50,12.00,0.00,22.14,4.12
4/5/20-17:54,75.20,72.50,12.00,0.00,22.14,4.11
4/5/20-18:24,73.40,71.60,12.00,0.00,21.65,4.12
4/5/20-18:54,72.50,71.60,12.00,0.00,21.65,4.12
4/5/20-19:24,72.50,71.60,12.00,0.00,21.65,4.10
4/5/20-19:54,71.60,71.60,11.00,0.00,21.28,4.13
4/5/20-20:24,71.60,71.60,12.00,0.00,21.66,4.12
4/5/20-20:54,70.70,71.60,11.00,0.00,21.28,4.12
4/5/20-21:24,70.70,71.60,12.00,0.00,21.66,4.12
4/5/20-21:54,70.70,71.60,12.00,0.00,21.66,4.12
4/5/20-22:24,70.70,70.70,12.00,0.00,21.51,4.12
4/5/20-22:54,70.70,70.70,12.00,0.00,21.51,4.12
4/5/20-23:24,70.70,71.60,11.00,0.00,21.28,4.10
4/5/20-23:54,70.70,71.60,11.00,0.00,21.29,4.11
4/6/20-0:24,70.70,70.70,12.00,0.00,21.52,4.12
4/6/20-0:54,70.70,71.60,11.00,0.00,21.29,4.12
4/6/20-1:24,70.70,70.70,11.00,0.00,21.16,4.11
4/6/20-1:54,69.80,70.70,12.00,0.00,21.52,4.11
4/6/20-2:24,69.80,70.70,11.00,0.00,20.78,4.11
4/6/20-2:54,69.80,70.70,12.00,0.00,21.52,4.11
4/6/20-3:24,69.80,70.70,12.00,0.00,21.52,4.09
4/6/20-3:54,69.80,70.70,12.00,0.00,21.52,4.11
4/6/20-4:24,69.80,70.70,11.00,0.00,21.16,4.11
4/6/20-4:54,69.80,70.70,12.00,0.00,21.52,4.11
4/6/20-5:24,69.80,70.70,12.00,0.00,21.52,4.11
4/6/20-5:54,69.80,70.70,12.00,0.00,21.52,4.11
4/6/20-6:24,70.70,70.70,12.00,0.00,21.52,4.10
4/6/20-6:54,70.70,70.70,12.00,0.00,21.52,4.11
4/6/20-7:24,69.80,70.70,12.00,0.00,21.52,4.11
4/6/20-7:54,70.70,70.70,12.00,0.00,21.52,4.09
4/6/20-8:24,71.60,71.60,12.00,0.00,21.67,4.11
4/6/20-8:54,72.50,71.60,12.00,0.00,21.66,4.11
4/6/20-9:24,74.30,71.60,12.00,0.00,22.39,4.12
4/6/20-9:54,76.10,71.60,12.00,0.00,22.39,4.12
4/6/20-10:24,78.80,71.60,12.00,0.00,22.76,4.12
4/6/20-10:54,80.60,72.50,13.00,0.00,23.24,4.11
4/6/20-11:24,87.80,72.50,14.00,0.00,25.04,4.12
4/6/20-11:54,85.10,72.50,13.00,0.00,24.33,4.15
4/6/20-12:24,90.50,73.40,14.00,0.00,25.49,4.16
4/6/20-12:54,95.90,74.30,14.00,0.00,25.60,4.16
4/6/20-13:24,94.10,74.30,14.00,0.00,25.24,4.17
4/6/20-13:54,89.60,74.30,13.00,0.00,24.54,4.18
4/6/20-14:24,89.60,74.30,13.00,0.00,24.54,4.19
4/6/20-14:54,85.10,74.30,12.00,0.00,23.13,4.18
4/6/20-15:24,81.50,74.30,12.00,0.00,22.77,4.18
4/6/20-15:54,81.50,73.40,12.00,0.00,22.64,4.19
4/6/20-16:24,79.70,73.40,12.00,0.00,21.93,4.18
4/6/20-16:54,77.00,73.40,12.00,0.00,21.58,4.18
4/6/20-17:24,76.10,73.40,12.00,0.00,21.58,4.19
4/6/20-17:54,77.00,72.50,12.00,0.00,21.46,4.18
4/6/20-18:24,76.10,72.50,12.00,0.00,21.46,4.19
4/6/20-18:54,75.20,72.50,12.00,0.00,21.81,4.19
4/6/20-19:24,74.30,72.50,11.00,0.00,20.74,4.18
4/6/20-19:54,73.40,71.60,11.00,0.00,20.96,4.18
4/6/20-20:24,73.40,72.50,11.00,0.00,20.74,4.18
4/6/20-20:54,72.50,72.50,11.00,0.00,20.74,4.17
4/6/20-21:24,72.50,71.60,11.00,0.00,20.59,4.17
4/6/20-21:54,72.50,71.60,11.00,0.00,20.59,4.17
4/6/20-22:24,71.60,71.60,11.00,0.00,20.21,4.17
4/6/20-22:54,71.60,71.60,11.00,0.00,20.59,4.17
4/6/20-23:24,71.60,71.60,11.00,0.00,20.59,4.16
4/6/20-23:54,71.60,71.60,11.00,0.00,20.59,4.17
4/7/20-0:24,71.60,71.60,11.00,0.00,20.59,4.17
4/7/20-0:54,71.60,71.60,11.00,0.00,20.22,4.16
4/7/20-1:24,71.60,71.60,11.00,0.00,20.22,4.16
4/7/20-1:54,71.60,71.60,11.00,0.00,20.59,4.17
4/7/20-2:24,71.60,71.60,11.00,0.00,20.59,4.15
4/7/20-2:54,71.60,71.60,11.00,0.00,20.60,4.16
4/7/20-3:24,71.60,71.60,11.00,0.00,20.59,4.15
4/7/20-3:54,71.60,71.60,11.00,0.00,20.22,4.16
4/7/20-4:24,71.60,71.60,11.00,0.00,20.22,4.16
4/7/20-4:54,71.60,71.60,11.00,0.00,20.60,4.16
4/7/20-5:24,71.60,71.60,11.00,0.00,20.60,4.16
4/7/20-5:54,71.60,71.60,11.00,0.00,20.22,4.14
4/7/20-6:24,71.60,71.60,11.00,0.00,20.22,4.15
4/7/20-6:54,71.60,71.60,11.00,0.00,20.22,4.16
4/7/20-7:24,71.60,71.60,11.00,0.00,20.22,4.15
4/7/20-7:54,71.60,71.60,11.00,0.00,20.22,4.16
4/7/20-8:24,72.50,71.60,11.00,0.00,20.60,4.12
4/7/20-8:54,73.40,71.60,11.00,0.00,20.60,4.16
4/7/20-9:24,74.30,71.60,11.00,0.00,20.97,4.16
4/7/20-9:54,76.10,71.60,12.00,0.00,21.32,4.16
4/7/20-10:24,81.50,72.50,12.00,0.00,22.56,4.16
4/7/20-10:54,86.00,72.50,13.00,0.00,24.36,4.18
4/7/20-11:24,93.20,73.40,14.00,0.00,25.17,4.19
4/7/20-11:54,93.20,74.30,13.00,0.00,24.92,4.18
4/7/20-12:24,93.20,75.20,13.00,0.00,24.32,4.19
4/7/20-12:54,95.00,75.20,14.00,0.00,25.01,4.18
4/7/20-13:24,95.90,75.20,13.00,0.00,24.67,4.18
4/7/20-13:54,101.30,76.10,13.00,0.00,24.77,4.19
4/7/20-14:24,100.40,77.00,13.00,0.00,24.21,4.19
4/7/20-14:54,98.60,77.00,13.00,0.00,23.86,4.19
4/7/20-15:24,96.80,77.00,12.00,0.00,22.84,4.18
4/7/20-15:54,87.80,77.00,11.00,0.00,21.12,4.18
4/7/20-16:24,84.20,76.10,11.00,0.00,20.29,4.18
4/7/20-16:54,81.50,76.10,11.00,0.00,19.61,4.18
4/7/20-17:24,80.60,75.20,10.00,0.00,19.12,4.16
4/7/20-17:54,79.70,75.20,10.00,0.00,18.76,4.18
4/7/20-18:24,78.80,75.20,10.00,0.00,18.06,4.18
4/7/20-18:54,77.90,75.20,10.00,0.00,18.06,4.16
4/7/20-19:24,77.00,74.30,10.00,0.00,17.88,4.18
4/7/20-19:54,76.10,74.30,9.00,0.00,17.54,4.17
4/7/20-20:24,75.20,74.30,9.00,0.00,17.55,4.18
4/7/20-20:54,75.20,74.30,9.00,0.00,17.18,4.18
4/7/20-21:24,74.30,73.40,9.00,0.00,17.36,4.16
4/7/20-21:54,74.30,73.40,9.00,0.00,17.36,4.17
4/7/20-22:24,74.30,73.40,9.00,0.00,16.99,4.17
4/7/20-22:54,73.40,72.50,9.00,0.00,17.55,4.16
4/7/20-23:24,73.40,72.50,9.00,0.00,17.17,4.16
4/7/20-23:54,73.40,72.50,9.00,0.00,17.17,4.16
4/8/20-0:24,72.50,72.50,9.00,0.00,16.82,4.16
4/8/20-0:54,72.50,72.50,9.00,0.00,17.18,4.16
4/8/20-1:24,72.50,72.50,9.00,0.00,17.18,4.16
4/8/20-1:54,72.50,71.60,9.00,0.00,17.00,4.16
4/8/20-2:24,72.50,71.60,9.00,0.00,17.00,4.16
4/8/20-2:54,72.50,71.60,9.00,0.00,17.00,4.16
4/8/20-3:24,72.50,71.60,9.00,0.00,17.00,4.16
4/8/20-3:54,72.50,71.60,9.00,0.00,17.01,4.16
4/8/20-4:24,72.50,71.60,9.00,0.00,17.01,4.16
4/8/20-4:54,71.60,71.60,9.00,0.00,16.63,4.15
4/8/20-5:24,71.60,71.60,9.00,0.00,17.01,4.16
4/8/20-5:54,71.60,71.60,9.00,0.00,16.63,4.13
4/8/20-6:24,71.60,71.60,9.00,0.00,16.63,4.15
4/8/20-6:54,71.60,71.60,9.00,0.00,16.63,4.13
4/8/20-7:24,71.60,71.60,9.00,0.00,16.63,4.15
4/8/20-7:54,72.50,71.60,9.00,0.00,17.01,4.14
4/8/20-8:24,72.50,71.60,9.00,0.00,17.01,4.14
4/8/20-8:54,77.90,71.60,9.00,0.00,17.36,4.15
4/8/20-9:24,77.90,71.60,10.00,0.00,17.74,4.16
4/8/20-9:54,86.00,72.50,10.00,0.00,18.98,4.18
4/8/20-10:24,86.00,72.50,10.00,0.00,19.36,4.15
4/8/20-10:54,95.00,73.40,12.00,0.00,21.66,4.19
4/8/20-11:24,98.60,74.30,12.00,0.00,22.52,4.19
4/8/20-11:54,99.50,75.20,12.00,0.00,22.30,4.19
4/8/20-12:24,104.00,76.10,10.00,0.00,19.32,4.19
4/8/20-12:54,104.00,77.00,3.00,0.00,6.01,4.19
4/8/20-13:24,102.20,77.90,2.00,0.00,-1.00,4.19
4/8/20-13:54,107.60,78.80,-1.00,0.00,-1.00,4.19
4/8/20-14:24,99.50,78.80,-1.00,-1.00,-1.00,4.18
4/8/20-14:54,106.70,79.70,-1.00,-1.00,-1.00,4.19
4/8/20-15:24,104.00,77.90,-1.00,-1.00,-1.00,4.19
4/8/20-15:54,91.40,77.90,-1.00,-1.00,-1.00,4.19
4/8/20-16:24,87.80,77.00,-1.00,-1.00,-1.00,4.19
4/8/20-16:54,86.00,77.00,-1.00,-1.00,-1.00,4.18
4/8/20-17:24,83.30,76.10,-1.00,-1.00,-1.00,4.18
4/8/20-17:54,82.40,76.10,-1.00,-1.00,-1.00,4.18
4/8/20-18:24,81.50,75.20,-1.00,-1.00,-1.00,4.18
4/8/20-18:54,79.70,75.20,-1.00,-1.00,-1.00,4.19
4/8/20-19:24,78.80,75.20,-1.00,-1.00,-1.00,4.16
4/8/20-19:54,77.90,74.30,-1.00,-1.00,-1.00,4.16
4/8/20-20:24,77.00,74.30,-1.00,-1.00,-1.00,4.18
4/8/20-20:54,76.10,74.30,-1.00,-1.00,-1.00,4.18
4/8/20-21:24,75.20,74.30,-1.00,-1.00,-1.00,4.18
4/8/20-21:54,75.20,73.40,-1.00,-1.00,-1.00,4.17
4/8/20-22:24,74.30,73.40,-1.00,-1.00,-1.00,4.17
4/8/20-22:54,74.30,73.40,-1.00,-1.00,-1.00,4.17
4/8/20-23:24,73.40,73.40,-1.00,-1.00,-1.00,4.18
4/8/20-23:54,73.40,72.50,-1.00,-1.00,-1.00,4.15
4/9/20-0:24,73.40,72.50,-1.00,-1.00,-1.00,4.16
4/9/20-0:54,73.40,72.50,-1.00,-1.00,-1.00,4.16
4/9/20-1:24,73.40,72.50,-1.00,-1.00,-1.00,4.16
4/9/20-1:54,72.50,72.50,-1.00,-1.00,-1.00,4.16
4/9/20-2:24,72.50,72.50,-1.00,-1.00,-1.00,4.16
4/9/20-2:54,71.60,71.60,-1.00,-1.00,-1.00,4.16
4/9/20-3:24,71.60,71.60,-1.00,-1.00,-1.00,4.16
4/9/20-3:54,71.60,71.60,-1.00,-1.00,-1.00,4.15
4/9/20-4:24,71.60,71.60,-1.00,-1.00,-1.00,4.16
4/9/20-4:54,71.60,71.60,-1.00,-1.00,-1.00,4.14
4/9/20-5:24,71.60,71.60,-1.00,-1.00,-1.00,4.16
4/9/20-5:54,71.60,71.60,-1.00,-1.00,-1.00,4.16
4/9/20-6:24,71.60,71.60,-1.00,-1.00,-1.00,4.16
4/9/20-6:54,71.60,71.60,-1.00,-1.00,-1.00,4.16
4/9/20-7:24,71.60,71.60,-1.00,-1.00,-1.00,4.16
4/9/20-7:54,71.60,71.60,-1.00,-1.00,-1.00,4.13
4/9/20-8:24,72.50,71.60,-1.00,-1.00,-1.00,4.16
4/9/20-8:54,75.20,71.60,-1.00,-1.00,-1.00,4.14
4/9/20-9:24,75.20,72.50,-1.00,-1.00,-1.00,4.16
4/9/20-9:54,78.80,72.50,-1.00,-1.00,-1.00,4.16
4/9/20-10:24,78.80,72.50,-1.00,-1.00,-1.00,4.17
4/9/20-10:54,77.90,72.50,-1.00,-1.00,-1.00,4.15
4/9/20-11:24,81.50,73.40,-1.00,-1.00,-1.00,4.17
4/9/20-11:54,83.30,73.40,-1.00,-1.00,-1.00,4.18
4/9/20-12:24,84.20,74.30,-1.00,-1.00,-1.00,4.18
4/9/20-12:54,89.60,74.30,-1.00,0.00,-1.00,4.18
4/9/20-13:24,99.50,76.10,4.00,0.00,7.11,4.18
4/9/20-13:54,99.50,77.00,4.00,0.00,7.76,4.18
4/9/20-14:24,95.00,77.00,3.00,0.00,6.34,4.18
4/9/20-14:54,95.00,77.00,3.00,0.00,6.34,4.18
4/9/20-15:24,91.40,77.00,3.00,0.00,5.28,4.18
4/9/20-15:54,83.30,76.10,2.00,0.00,-1.00,4.18
4/9/20-16:24,83.30,76.10,2.00,0.00,-1.00,4.19
4/9/20-16:54,81.50,76.10,3.00,0.00,-1.00,4.19
4/9/20-17:24,80.60,75.20,3.00,0.00,-1.00,4.18
4/9/20-17:54,77.90,74.30,3.00,0.00,-1.00,4.19
4/9/20-18:24,76.10,74.30,3.00,0.00,5.09,4.19
4/9/20-18:54,74.30,73.40,3.00,0.00,-1.00,4.18
4/9/20-19:24,73.40,73.40,2.00,0.00,-1.00,4.19
4/9/20-19:54,72.50,72.50,3.00,0.00,-1.00,4.19
4/9/20-20:24,71.60,72.50,3.00,0.00,5.19,4.19
4/9/20-20:54,71.60,71.60,3.00,0.00,5.25,4.18
4/9/20-21:24,71.60,71.60,3.00,0.00,-1.00,4.15
4/9/20-21:54,70.70,71.60,3.00,0.00,5.25,4.15
4/9/20-22:24,70.70,71.60,3.00,0.00,5.25,4.17
4/9/20-22:54,70.70,71.60,3.00,0.00,5.25,4.17
4/9/20-23:24,70.70,71.60,3.00,0.00,5.25,4.17
4/9/20-23:54,70.70,71.60,3.00,0.00,5.24,4.17
4/10/20-0:24,70.70,70.70,3.00,0.00,5.30,4.17
4/10/20-0:54,69.80,70.70,3.00,0.00,5.30,4.14
4/10/20-1:24,70.70,70.70,3.00,0.00,5.66,4.16
4/10/20-1:54,69.80,70.70,3.00,0.00,5.66,4.16
4/10/20-2:24,69.80,70.70,3.00,0.00,5.66,4.16
4/10/20-2:54,69.80,70.70,3.00,0.00,5.66,4.16
4/10/20-3:24,69.80,70.70,3.00,0.00,5.66,4.16
4/10/20-3:54,69.80,70.70,3.00,0.00,5.66,4.16
4/10/20-4:24,69.80,70.70,3.00,0.00,5.30,4.16
4/10/20-4:54,69.80,70.70,3.00,0.00,5.66,4.16
4/10/20-5:24,69.80,70.70,3.00,0.00,5.30,4.16
4/10/20-5:54,69.80,70.70,3.00,0.00,5.66,4.16
4/10/20-6:24,70.70,70.70,3.00,0.00,6.05,4.16
4/10/20-6:54,70.70,70.70,3.00,0.00,5.66,4.16
4/10/20-7:24,70.70,70.70,3.00,0.00,6.05,4.16
4/10/20-7:54,70.70,70.70,3.00,0.00,6.05,4.16
4/10/20-8:24,70.70,71.60,3.00,0.00,5.98,4.16
4/10/20-8:54,71.60,70.70,3.00,0.00,6.05,4.15
4/10/20-9:24,72.50,71.60,3.00,0.00,5.98,4.16
4/10/20-9:54,74.30,71.60,3.00,0.00,6.36,4.13
4/10/20-10:24,76.10,71.60,3.00,0.00,6.36,4.16
4/10/20-10:54,76.10,71.60,4.00,0.00,6.72,4.19
4/10/20-11:24,78.80,71.60,4.00,0.00,7.10,4.17
4/10/20-11:54,80.60,72.50,4.00,0.00,8.14,4.17
4/10/20-12:24,80.60,72.50,4.00,0.00,8.13,4.18
4/10/20-12:54,81.50,72.50,4.00,0.00,8.13,4.18
4/10/20-13:24,81.50,73.40,5.00,0.00,8.77,4.17
4/10/20-13:54,80.60,73.40,5.00,0.00,8.40,4.18
4/10/20-14:24,80.60,73.40,4.00,0.00,8.05,4.18
4/10/20-14:54,80.60,73.40,4.00,0.00,8.05,4.17
4/10/20-15:24,83.30,73.40,5.00,0.00,9.49,4.18
4/10/20-15:54,82.40,73.40,5.00,0.00,9.49,4.17
4/10/20-16:24,81.50,73.40,5.00,0.00,9.49,4.17
4/10/20-16:54,80.60,73.40,5.00,0.00,9.14,4.18
4/10/20-17:24,79.70,73.40,5.00,0.00,9.14,4.18
4/10/20-17:54,77.90,73.40,5.00,0.00,8.77,4.18
4/10/20-18:24,76.10,72.50,5.00,0.00,8.49,4.18
4/10/20-18:54,75.20,72.50,4.00,0.00,8.13,4.17
4/10/20-19:24,73.40,72.50,4.00,0.00,7.76,4.17
4/10/20-19:54,72.50,71.60,4.00,0.00,7.46,4.16
4/10/20-20:24,71.60,71.60,4.00,0.00,7.46,4.17
4/10/20-20:54,71.60,71.60,4.00,0.00,7.46,4.17
4/10/20-21:24,71.60,71.60,4.00,0.00,7.10,4.17
4/10/20-21:54,71.60,71.60,4.00,0.00,7.10,4.17
4/10/20-22:24,70.70,71.60,4.00,0.00,7.10,4.17
4/10/20-22:54,70.70,71.60,4.00,0.00,7.10,4.16
4/10/20-23:24,69.80,70.70,4.00,0.00,7.17,4.16
4/10/20-23:54,69.80,70.70,4.00,0.00,7.17,4.16
4/11/20-0:24,69.80,70.70,4.00,0.00,7.17,4.16
4/11/20-0:54,69.80,70.70,4.00,0.00,7.17,4.16
4/11/20-1:24,69.80,70.70,4.00,0.00,7.17,4.16
4/11/20-1:54,69.80,70.70,4.00,0.00,7.17,4.16
4/11/20-2:24,69.80,70.70,4.00,0.00,7.17,4.15
4/11/20-2:54,69.80,70.70,4.00,0.00,7.53,4.15
4/11/20-3:24,69.80,70.70,4.00,0.00,7.53,4.16
4/11/20-3:54,69.80,70.70,4.00,0.00,7.53,4.15
4/11/20-4:24,69.80,70.70,4.00,0.00,7.53,4.15
4/11/20-4:54,69.80,70.70,4.00,0.00,7.53,4.15
4/11/20-5:24,70.70,70.70,4.00,0.00,7.53,4.15
4/11/20-5:54,70.70,70.70,4.00,0.00,7.53,4.15
4/11/20-6:24,70.70,70.70,4.00,0.00,7.53,4.15
4/11/20-6:54,69.80,70.70,4.00,0.00,7.53,4.14
4/11/20-7:24,69.80,70.70,4.00,0.00,7.53,4.15
4/11/20-7:54,70.70,70.70,4.00,0.00,7.53,4.15
4/11/20-8:24,70.70,70.70,4.00,0.00,7.53,4.14
4/11/20-8:54,71.60,70.70,4.00,0.00,7.92,4.14
4/11/20-9:24,71.60,70.70,4.00,0.00,7.53,4.15
4/11/20-9:54,72.50,71.60,4.00,0.00,7.83,4.15
4/11/20-10:24,73.40,71.60,4.00,0.00,7.83,4.15
4/11/20-10:54,74.30,71.60,4.00,0.00,7.83,4.15
4/11/20-11:24,76.10,71.60,4.00,0.00,8.21,4.16
4/11/20-11:54,79.70,71.60,5.00,0.00,10.07,4.16
4/11/20-12:24,81.50,72.50,5.00,0.00,9.59,4.18
4/11/20-12:54,80.60,72.50,5.00,0.00,9.96,4.17
4/11/20-13:24,81.50,72.50,6.00,0.00,10.32,4.17
4/11/20-13:54,77.90,72.50,5.00,0.00,9.59,4.18
4/11/20-14:24,77.00,72.50,5.00,0.00,9.59,4.18
4/11/20-14:54,76.10,72.50,5.00,0.00,9.59,4.18
4/11/20-15:24,75.20,72.50,5.00,0.00,9.59,4.18
4/11/20-15:54,75.20,72.50,5.00,0.00,9.24,4.17
4/11/20-16:24,76.10,72.50,5.00,0.00,9.59,4.18
4/11/20-16:54,76.10,72.50,5.00,0.00,9.59,4.16
4/11/20-17:24,75.20,72.50,5.00,0.00,9.59,4.19
4/11/20-17:54,76.10,72.50,5.00,0.00,9.59,4.18
4/11/20-18:24,76.10,72.50,5.00,0.00,9.59,4.18
4/11/20-18:54,75.20,72.50,5.00,0.00,9.59,4.18
4/11/20-19:24,74.30,72.50,5.00,0.00,9.59,4.18
4/11/20-19:54,73.40,72.50,5.00,0.00,9.23,4.18
4/11/20-20:24,73.40,72.50,5.00,0.00,9.23,4.18
4/11/20-20:54,72.50,71.60,5.00,0.00,9.33,4.18
4/11/20-21:24,72.50,71.60,5.00,0.00,8.95,4.17
4/11/20-21:54,72.50,71.60,5.00,0.00,9.33,4.17
4/11/20-22:24,72.50,71.60,5.00,0.00,9.33,4.16
4/11/20-22:54,72.50,71.60,5.00,0.00,9.33,4.16
4/11/20-23:24,72.50,71.60,5.00,0.00,9.69,4.17
4/11/20-23:54,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-0:24,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-0:54,72.50,71.60,5.00,0.00,9.69,4.14
4/12/20-1:24,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-1:54,72.50,71.60,5.00,0.00,9.33,4.16
4/12/20-2:24,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-2:54,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-3:24,72.50,71.60,5.00,0.00,10.07,4.16
4/12/20-3:54,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-4:24,72.50,71.60,5.00,0.00,9.69,4.16
4/12/20-4:54,72.50,71.60,5.00,0.00,9.33,4.16
4/12/20-5:24,72.50,71.60,5.00,0.00,9.69,4.15
4/12/20-5:54,71.60,71.60,5.00,0.00,9.69,4.13
4/12/20-6:24,71.60,71.60,5.00,0.00,9.33,4.15
4/12/20-6:54,71.60,71.60,5.00,0.00,9.33,4.15
4/12/20-7:24,71.60,71.60,5.00,0.00,9.33,4.16
4/12/20-7:54,72.50,71.60,5.00,0.00,10.07,4.14
4/12/20-8:24,73.40,71.60,5.00,0.00,10.07,4.15
4/12/20-8:54,74.30,71.60,5.00,0.00,10.07,4.15
4/12/20-9:24,76.10,71.60,6.00,0.00,11.19,4.15
4/12/20-9:54,86.90,72.50,6.00,0.00,11.80,4.16
4/12/20-10:24,94.10,73.40,6.00,0.00,11.70,4.18
4/12/20-10:54,97.70,74.30,7.00,0.00,13.01,4.19
4/12/20-11:24,101.30,76.10,7.00,0.00,13.47,4.19
